dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2730.0,3141.0,71.183
geoId-VNM,2003,,2550.0,2998.0,68.655
geoId-VNM,2004,245.0,3807.0,5657.0,91.886
geoId-VNM,2005,256.0,2437.0,3011.0,67.287
geoId-VNM,2006,256.0,2328.0,2984.0,66.1
geoId-VNM,2007,257.0,2348.0,2916.0,64.9
geoId-VNM,2008,256.0,2315.0,3171.0,66.3
geoId-VNM,2009,258.0,2275.0,3199.0,67.6
geoId-VNM,2010,259.0,2265.0,3128.0,69.6
geoId-VNM,2011,260.0,2300.0,3617.0,74.935
geoId-VNM,2012,260.0,2366.0,3986.0,75.615
geoId-VNM,2013,264.0,2404.0,4257.0,76.742
geoId-VNM,2014,266.0,2488.0,4477.0,78.23
geoId-VNM,2015,266.0,2581.0,4738.0,84.821
geoId-VNM,2016,266.0,2974.0,4782.0,87.502
geoId-VNM,2017,266.0,2798.0,4897.0,91.693
geoId-VNM,2018,261.0,2778.0,4784.0,89.32
geoId-VNM,2020,231.0,2880.0,4714.0,86.103
geoId-VNM,2021,230.0,2897.0,4755.0,81.228
