dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1340.0,1462.0,35.391
geoId-VNM,2003,,1369.0,1465.0,34.758
geoId-VNM,2004,138.0,1389.0,1561.0,37.134
geoId-VNM,2005,141.0,1405.0,1517.0,37.382
geoId-VNM,2006,217.0,1977.0,2754.0,49.8
geoId-VNM,2007,141.0,1450.0,1606.0,39.4
geoId-VNM,2008,144.0,1497.0,1705.0,41.9
geoId-VNM,2009,147.0,1512.0,1760.0,42.5
geoId-VNM,2010,147.0,1590.0,1872.0,47.3
geoId-VNM,2011,148.0,1704.0,2362.0,51.355
geoId-VNM,2012,150.0,1713.0,2592.0,54.155
geoId-VNM,2013,153.0,1772.0,2917.0,56.496
geoId-VNM,2014,159.0,1852.0,2919.0,59.304
geoId-VNM,2015,159.0,2424.0,3182.0,66.51
geoId-VNM,2016,166.0,2295.0,3839.0,75.956
geoId-VNM,2017,168.0,2589.0,4139.0,79.726
geoId-VNM,2018,167.0,2446.0,4120.0,78.071
geoId-VNM,2020,172.0,2740.0,4743.0,75.727
geoId-VNM,2021,175.0,2763.0,4980.0,72.199
