dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1507.0,1678.0,27.147
geoId-VNM,2003,,1617.0,1845.0,30.1
geoId-VNM,2004,150.0,1772.0,1992.0,34.818
geoId-VNM,2005,168.0,1906.0,1950.0,36.573
geoId-VNM,2006,180.0,1882.0,2026.0,39.3
geoId-VNM,2007,192.0,2034.0,2300.0,44.3
geoId-VNM,2008,200.0,2349.0,2615.0,49.9
geoId-VNM,2009,214.0,2486.0,2709.0,53.5
geoId-VNM,2010,219.0,2792.0,3103.0,58.6
geoId-VNM,2011,244.0,2909.0,3345.0,63.653
geoId-VNM,2012,251.0,3099.0,3676.0,70.732
geoId-VNM,2013,255.0,3104.0,3682.0,74.149
geoId-VNM,2014,262.0,3112.0,3885.0,77.384
geoId-VNM,2015,263.0,3155.0,3989.0,81.764
geoId-VNM,2016,268.0,3165.0,3987.0,84.401
geoId-VNM,2017,269.0,3191.0,4165.0,86.976
geoId-VNM,2018,224.0,3132.0,4268.0,85.954
geoId-VNM,2020,228.0,3054.0,4517.0,81.541
geoId-VNM,2021,229.0,3028.0,4475.0,77.539
