dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1310.0,1743.0,33.238
geoId-VNM,2003,,1380.0,1620.0,33.329
geoId-VNM,2004,170.0,1355.0,1786.0,35.278
geoId-VNM,2005,175.0,1407.0,1883.0,32.906
geoId-VNM,2006,193.0,1329.0,1935.0,34.0
geoId-VNM,2007,182.0,1315.0,1986.0,34.8
geoId-VNM,2008,185.0,1392.0,2100.0,36.5
geoId-VNM,2009,190.0,1302.0,2184.0,36.2
geoId-VNM,2010,193.0,1408.0,2229.0,36.8
geoId-VNM,2011,195.0,1413.0,2367.0,37.539
geoId-VNM,2012,196.0,1483.0,2746.0,41.036
geoId-VNM,2013,198.0,1375.0,2831.0,36.324
geoId-VNM,2014,206.0,1395.0,2849.0,38.737
geoId-VNM,2015,207.0,1459.0,2850.0,41.435
geoId-VNM,2016,206.0,1626.0,3151.0,49.472
geoId-VNM,2017,207.0,2030.0,3326.0,50.532
geoId-VNM,2018,203.0,1597.0,3174.0,49.556
geoId-VNM,2020,204.0,1705.0,3441.0,49.92
geoId-VNM,2021,204.0,1792.0,3684.0,46.255
