dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,2467.0,4049.0,77.191
geoId-VNM,2003,,2644.0,4462.0,81.822
geoId-VNM,2004,333.0,2628.0,4765.0,89.759
geoId-VNM,2005,360.0,3023.0,5395.0,97.953
geoId-VNM,2006,356.0,3181.0,5683.0,108.7
geoId-VNM,2007,366.0,3297.0,6103.0,114.9
geoId-VNM,2008,767.0,8231.0,11287.0,234.0
geoId-VNM,2009,804.0,7825.0,12473.0,254.9
geoId-VNM,2010,833.0,8717.0,15845.0,288.6
geoId-VNM,2011,857.0,9538.0,18736.0,318.423
geoId-VNM,2012,897.0,9314.0,22397.0,351.632
geoId-VNM,2013,929.0,10331.0,23354.0,341.298
geoId-VNM,2014,960.0,11769.0,25960.0,374.417
geoId-VNM,2015,1009.0,13403.0,27081.0,391.048
geoId-VNM,2016,1044.0,13365.0,31484.0,434.153
geoId-VNM,2017,1084.0,14886.0,34174.0,466.069
geoId-VNM,2018,1153.0,16072.0,33231.0,443.755
geoId-VNM,2020,1147.0,16700.0,35234.0,420.072
geoId-VNM,2021,1155.0,15986.0,32958.0,386.695
