dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1350.0,1391.0,30.023
geoId-VNM,2003,,1369.0,1276.0,28.442
geoId-VNM,2004,148.0,1390.0,1481.0,30.389
geoId-VNM,2005,154.0,1379.0,1447.0,31.222
geoId-VNM,2006,157.0,1376.0,1490.0,30.7
geoId-VNM,2007,167.0,1423.0,1571.0,32.4
geoId-VNM,2008,194.0,1549.0,1646.0,37.1
geoId-VNM,2009,194.0,1464.0,1760.0,36.7
geoId-VNM,2010,213.0,1492.0,1827.0,38.0
geoId-VNM,2011,210.0,1559.0,1754.0,38.694
geoId-VNM,2012,214.0,1603.0,1967.0,42.581
geoId-VNM,2013,205.0,1573.0,2071.0,42.357
geoId-VNM,2014,207.0,1717.0,2205.0,41.511
geoId-VNM,2015,208.0,1570.0,2445.0,41.263
geoId-VNM,2016,219.0,1620.0,2693.0,46.923
geoId-VNM,2017,214.0,2045.0,2819.0,47.906
geoId-VNM,2018,242.0,1657.0,2672.0,46.857
geoId-VNM,2020,214.0,1689.0,2840.0,48.762
geoId-VNM,2021,216.0,1698.0,2900.0,47.388
