dia phuong,Năm,Trường học (Trường),Lớp học (Lớp),Giáo viên (Người),Học sinh (Nghìn học sinh)
geoId-VNM,2002,,1056.0,1140.0,26.521
geoId-VNM,2003,,1088.0,1234.0,25.546
geoId-VNM,2004,115.0,1146.0,1271.0,28.869
geoId-VNM,2005,120.0,1195.0,1368.0,31.524
geoId-VNM,2006,146.0,1317.0,1547.0,33.5
geoId-VNM,2007,155.0,1460.0,1689.0,36.7
geoId-VNM,2008,158.0,1456.0,1754.0,39.9
geoId-VNM,2009,173.0,1470.0,1852.0,40.6
geoId-VNM,2010,181.0,1440.0,1852.0,40.5
geoId-VNM,2011,183.0,1476.0,1931.0,41.671
geoId-VNM,2012,187.0,1388.0,2080.0,44.142
geoId-VNM,2013,198.0,1497.0,2261.0,45.986
geoId-VNM,2014,196.0,1514.0,2622.0,46.572
geoId-VNM,2015,203.0,1591.0,2826.0,45.797
geoId-VNM,2016,209.0,1764.0,3116.0,53.328
geoId-VNM,2017,224.0,1798.0,3440.0,54.9
geoId-VNM,2018,224.0,1782.0,3275.0,52.141
geoId-VNM,2020,218.0,1830.0,3384.0,50.676
geoId-VNM,2021,216.0,1625.0,3176.0,39.919
