"Khối nước, nước và vùng lãnh thổ chủ yếu",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
,53.6,111.3,102.2,87.1,95.7,170.3,196.8,276.8,373.9,309.7,288.1,335.3,686.1,668.3,618.2,822.5,998.8,972.1,1172.7,1332.4,1451.5,1427.0,1650.0,1772.5,1877.8,1511.1,1726.5,1786.8
,1.1,6.1,5.2,12.3,17.4,7.3,14.3,16.9,21.6,34.9,36.2,41.3,82.8,76.9,115.5,124.9,205.2,158.9,204.4,570.1,1161.4,688.3,345.0,420.7,381.9,893.2,1109.7,1442.2
,190.0,149.0,200.0,256.5,286.8,345.4,288.9,362.6,551.5,663.3,700.0,1012.8,1353.9,1728.9,1452.7,1909.2,2247.6,2247.4,2367.4,2488.5,2740.3,2992.5,3656.3,4938.4,5723.1,5381.8,7614.8,9641.2
,144.8,186.5,158.0,216.3,245.6,240.5,376.4,500.6,491.8,671.5,766.6,455.8,552.2,969.6,1288.1,999.1,694.0,829.4,855.1,826.7,748.2,1136.8,1392.3,2136.9,1830.3,2003.0,2335.8,1994.9
,84.0,68.1,52.7,131.4,197.4,105.7,68.0,62.6,60.7,74.3,97.5,166.6,211.3,278.7,254.2,291.7,460.0,450.9,668.7,802.1,588.3,347.1,370.6,438.5,462.4,458.2,778.0,1047.3
,190.5,200.3,226.8,249.0,305.0,388.9,464.4,683.3,925.0,1215.3,1256.5,1482.0,2289.9,2596.1,2561.3,3413.4,3919.7,3412.0,4095.9,4203.6,4188.0,5174.3,5945.4,7454.0,7336.7,6576.3,8165.0,9124.1
,,0.6,1.4,1.5,1.2,3.6,4.0,5.9,18.3,19.3,45.8,64.6,75.4,75.6,59.1,102.8,84.8,109.5,123.5,134.6,58.9,88.8,127.5,160.9,234.5,219.9,382.7,369.6
,0.2,2.7,1.5,3.3,6.4,2.5,5.7,6.5,11.2,13.0,7.9,18.6,58.7,61.6,111.2,89.1,91.3,111.8,114.3,262.7,477.0,483.9,787.5,1124.6,641.8,523.0,499.4,889.0
,1.1,7.3,2.5,5.4,1.7,7.5,5.4,5.6,6.7,18.4,15.8,23.5,24.6,76.8,72.4,129.5,166.0,131.3,131.1,189.9,202.6,263.7,238.4,288.4,312.6,311.7,352.4,419.6
,2.6,2.5,13.0,2.6,4.3,4.2,5.1,24.8,78.5,90.5,108.0,54.0,73.2,137.3,104.0,165.1,223.8,111.1,154.7,144.6,115.0,149.5,242.3,387.2,329.3,707.6,426.5,399.4
,915.7,1260.3,1509.3,1481.7,1618.3,2300.9,2183.1,2504.7,2982.1,3552.6,4074.1,4702.1,6188.9,8240.3,6836.4,9016.1,10400.7,11602.1,11558.3,12857.0,14225.1,15098.3,16916.8,19108.1,19621.1,20369.1,22805.9,23373.8
,3.3,20.6,22.3,40.5,55.2,61.3,141.9,60.4,90.1,109.2,118.7,159.7,246.4,237.2,207.4,353.0,383.9,384.9,454.8,478.3,377.8,356.9,502.2,532.0,553.0,557.8,635.7,714.6
,213.7,207.2,317.7,337.2,396.8,525.9,435.8,628.6,878.0,1122.0,1301.0,1408.8,1758.6,2346.9,710.5,1440.0,2282.2,2314.6,2622.8,2801.3,2104.2,2169.5,2748.8,5300.3,5780.4,5311.7,7823.7,19547.3
,14.6,4.7,12.5,6.7,5.2,16.1,14.3,27.6,17.4,30.2,38.3,32.5,53.1,54.7,83.5,109.6,156.0,215.9,143.1,144.4,160.0,128.8,130.3,172.6,160.0,117.5,196.3,303.6
,24.7,28.9,36.3,67.7,47.5,62.9,53.5,100.6,140.9,188.4,209.9,342.6,414.2,389.1,450.7,700.3,805.1,964.5,952.3,674.9,898.9,1060.2,1158.3,1256.7,1578.1,1754.5,2406.5,2712.7
,276.6,416.8,550.8,379.8,309.3,334.2,300.4,299.2,411.0,617.4,447.7,421.1,1155.4,816.5,753.9,969.0,1205.0,1589.1,992.8,1111.4,1281.4,1159.8,1319.2,1380.1,1618.9,1526.7,1596.9,1636.8
,11.7,17.3,26.0,24.1,19.1,14.0,19.5,35.4,33.5,53.6,42.7,82.3,78.5,105.2,126.6,122.3,124.0,204.3,149.5,159.5,204.4,224.8,292.8,235.0,247.8,196.6,245.1,208.4
,,,,,,4.5,9.6,3.5,11.2,17.0,31.9,39.0,48.0,71.1,70.6,69.0,89.9,96.6,42.8,98.0,60.0,76.5,117.1,83.6,81.4,87.4,73.8,69.4
,0.3,2.7,1.2,8.4,11.7,10.3,39.6,31.3,26.5,25.6,29.0,19.7,67.3,71.5,114.4,83.3,178.4,233.5,253.2,220.3,187.6,181.3,138.3,291.3,179.9,174.4,315.5,295.3
