dia phuong,2000,2001,2002,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,5689.0,6117.0,6720.0,19278.0,31468.11,40159.38,45668.5,49601.79,54131.89,56287.57,60475.69,66753.37,73481.46,79880.62,82.44,86.16,95.99
