dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,4120.5,4102.5,18.0
geoId-VNM,31/12/2020,3940.6,3916.9,18.0
geoId-VNM,31/12/2021,3935.4,3910.1,25.3
