dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,297.7,297.6,0.1
geoId-VNM,31/12/2020,295.9,295.8,0.1
geoId-VNM,31/12/2021,296.5,296.5,0.1
