dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,51.3,51.0,0.3
geoId-VNM,31/12/2020,51.4,51.1,0.3
geoId-VNM,31/12/2021,51.4,51.1,0.3
