dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,96.4,93.9,2.5
geoId-VNM,31/12/2020,104.8,102.0,2.5
geoId-VNM,31/12/2021,13.2,13.1,0.1
