dia phuong,Năm,Tổng diện tích,Đất đã giao cho các đối tượng sử dụng,Đất đã giao cho các đối tượng quản lý
geoId-VNM,31/12/2018,795.3,788.1,7.2
geoId-VNM,31/12/2020,786.2,778.5,7.2
geoId-VNM,31/12/2021,785.9,777.0,8.9
