dia phuong,Năm,Lúa,Ngô,Mía,Sắn,Lạc,Khoai lang
geoId-VNM,2000,100.2,105.6,87.8,,98.9,
geoId-VNM,2001,97.7,99.9,96.2,,99.9,
geoId-VNM,2002,100.2,111.9,110.1,,100.9,
geoId-VNM,2003,99.3,111.9,97.9,,98.8,
geoId-VNM,2004,99.9,108.6,91.3,,108.2,
geoId-VNM,2005,98.4,106.2,100.4,,102.4,
geoId-VNM,2006,99.9,98.1,108.2,,91.5,
geoId-VNM,2007,98.4,106.1,101.8,,103.2,
geoId-VNM,2008,102.7,104.0,92.3,,100.3,
geoId-VNM,2009,100.5,95.5,98.1,,96.0,
geoId-VNM,2010,100.7,103.4,101.3,98.2,94.4,134.6
geoId-VNM,2011,102.2,99.6,104.9,112.1,96.7,97.3
geoId-VNM,2012,101.4,103.2,107.0,98.8,97.9,96.5
geoId-VNM,2013,101.8,101.2,102.8,98.6,98.7,95.3
geoId-VNM,2014,98.9,100.7,98.3,101.6,96.4,96.4
geoId-VNM,2015,100.2,100.0,93.2,102.7,95.9,98.1
geoId-VNM,2016,98.8,97.8,94.2,100.2,92.3,94.3
geoId-VNM,2017,99.6,95.4,105.0,93.6,105.8,101.2
geoId-VNM,2018,98.3,93.9,95.9,96.3,95.0,96.8
geoId-VNM,2019,98.7,95.5,88.3,101.2,95.1,99.2
geoId-VNM,2020,97.4,95.5,78.0,101.1,96.0,93.2
geoId-VNM,2021,99.4,95.8,89.5,100.0,97.4,90.1
geoId-VNM,Sơ bộ 2022,98.2,98.3,102.1,101.1,96.4,87.8
