dia phuong,Năm,Tổng số,Nam,Nữ,Thành thị,Nông thôn
geoId-VNM,2005,42774.9,21926.4,20848.5,10689.1,32085.8
geoId-VNM,2006,43980.3,23339.8,20640.5,11432.0,32548.3
geoId-VNM,2007,45208.0,22940.8,22267.2,11698.8,33509.2
geoId-VNM,2008,46460.8,23898.6,22562.2,12499.0,33961.8
geoId-VNM,2009,47743.6,24800.7,22942.9,12624.5,35119.1
geoId-VNM,2010,49124.4,25349.6,23774.8,13682.9,35441.5
geoId-VNM,2011,50547.2,26151.1,24396.1,14619.1,35928.1
geoId-VNM,2012,51690.5,26651.8,25038.7,15120.0,36570.5
geoId-VNM,2013,52507.8,27009.7,25498.1,15419.5,37088.3
geoId-VNM,2014,53030.6,27294.8,25735.8,16133.9,36896.7
geoId-VNM,2015,53110.5,27496.4,25614.1,16377.3,36733.2
geoId-VNM,2016,53345.5,27640.2,25705.3,16611.2,36734.3
geoId-VNM,2017,53708.6,27884.1,25824.5,16892.6,36816.0
geoId-VNM,2018,54282.5,28370.7,25911.8,17336.6,36945.9
geoId-VNM,2019,54659.2,28792.2,25867.0,17564.6,37094.6
geoId-VNM,2020,53609.58,28324.05,25285.53,17519.09,36090.49
geoId-VNM,2021,49072.0,26238.9,22833.1,17766.7,31305.3
geoId-VNM,Sơ bộ 2022,50604.71,26918.7,23685.96,18706.36,31898.3
