dia phuong,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,28611.0,53774.0,53560.0,69320.0,78206.0,99369.0,127136.0,155603.0,174777.0,177367.0,178036.0,204521.0,220436.0,237767.0,241927.0,237338.8,272738.0
