dia phuong,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
geoId-VNM,9522.57,10565.4,11057.4,11645.9,12290.5,13055.7,13820.39,14732.3,15762.15,16163.9,16546.83
