dia phuong,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,2.02,1.89,1.94,1.84,1.85,1.85,2.35,3.01,3.15,4.39,5.33,6.12,5.62,5.45,5.56,5.77,6.09,6.59,7.04,7.62,8.02,8.98
