dia phuong,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-VNM,14.95,17.83,14.12,11.34,10.36,9.4,12.15,14.04,16.93,12.59,11.28,9.7,9.45,10.89,9.95,,,,,,,
