dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,18630.0,11557.0,5667.0,1406.0
geoId-VNM,2005,18650.0,10967.0,6013.0,1670.0
geoId-VNM,2006,17255.0,10068.0,5560.0,1627.0
geoId-VNM,2007,15971.0,9553.0,5127.0,1291.0
geoId-VNM,2008,15562.0,9836.0,4937.0,789.0
geoId-VNM,2009,15727.0,10064.0,4503.0,1160.0
geoId-VNM,2010,16628.0,10503.0,4941.0,1184.0
geoId-VNM,2011,16981.0,10614.0,5177.0,1190.0
geoId-VNM,2012,16984.0,10550.0,5732.0,702.0
geoId-VNM,2013,17947.0,10608.0,5986.0,1353.0
geoId-VNM,2014,18294.0,10680.0,6038.0,1576.0
geoId-VNM,2015,18518.0,10932.0,5966.0,1620.0
geoId-VNM,2016,18530.0,10953.0,5883.0,1694.0
geoId-VNM,2017,18874.0,11157.0,6068.0,1649.0
geoId-VNM,2018,19325.0,11535.0,6224.0,1566.0
geoId-VNM,2019,20005.0,11966.0,6372.0,1667.0
geoId-VNM,2020,20371.0,11896.0,6600.0,1875.0
geoId-VNM,2021,20754.0,11873.0,6807.0,2074.0
