dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,,,,
geoId-VNM,2005,,,,
geoId-VNM,2006,1035.0,450.0,310.0,275.0
geoId-VNM,2007,986.0,477.0,375.0,134.0
geoId-VNM,2008,1174.0,659.0,390.0,125.0
geoId-VNM,2009,972.0,469.0,358.0,145.0
geoId-VNM,2010,951.0,471.0,342.0,138.0
geoId-VNM,2011,1351.0,809.0,378.0,164.0
geoId-VNM,2012,1075.0,449.0,339.0,287.0
geoId-VNM,2013,986.0,472.0,341.0,173.0
geoId-VNM,2014,1681.0,485.0,1028.0,168.0
geoId-VNM,2015,947.0,472.0,304.0,171.0
geoId-VNM,2016,932.0,459.0,333.0,140.0
geoId-VNM,2017,902.0,465.0,294.0,143.0
geoId-VNM,2018,1013.0,544.0,331.0,138.0
geoId-VNM,2019,1084.0,594.0,332.0,158.0
geoId-VNM,2020,1363.0,705.0,480.0,178.0
geoId-VNM,2021,1605.0,856.0,558.0,191.0
