dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,147015.0,90705.0,46162.0,10148.0
geoId-VNM,2005,149351.0,88229.0,47725.0,13397.0
geoId-VNM,2006,151799.0,85593.0,50344.0,15862.0
geoId-VNM,2007,143966.0,80283.0,48486.0,15197.0
geoId-VNM,2008,138933.0,78212.0,47677.0,13044.0
geoId-VNM,2009,132817.0,75963.0,45242.0,11612.0
geoId-VNM,2010,123946.0,73079.0,38702.0,12165.0
geoId-VNM,2011,129719.0,71776.0,44665.0,13278.0
geoId-VNM,2012,125953.0,69677.0,42813.0,13463.0
geoId-VNM,2013,123027.0,70592.0,38582.0,13853.0
geoId-VNM,2014,127269.0,71227.0,42070.0,13972.0
geoId-VNM,2015,126085.0,70783.0,41227.0,14075.0
geoId-VNM,2016,125199.0,70722.0,41201.0,13276.0
geoId-VNM,2017,125447.0,71781.0,40579.0,13087.0
geoId-VNM,2018,127535.0,74325.0,41025.0,12185.0
geoId-VNM,2019,132430.0,76655.0,42622.0,13153.0
geoId-VNM,2020,136142.0,78663.0,44348.0,13131.0
geoId-VNM,2021,140337.0,80733.0,46013.0,13591.0
