dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,9149.0,5647.0,2897.0,605.0
geoId-VNM,2005,11190.0,7087.0,3324.0,779.0
geoId-VNM,2006,11219.0,6732.0,3510.0,977.0
geoId-VNM,2007,10259.0,6004.0,3279.0,976.0
geoId-VNM,2008,11164.0,6208.0,4054.0,902.0
geoId-VNM,2009,9118.0,5134.0,3042.0,942.0
geoId-VNM,2010,10348.0,6367.0,2993.0,988.0
geoId-VNM,2011,11889.0,7466.0,3160.0,1263.0
geoId-VNM,2012,10967.0,6418.0,3517.0,1032.0
geoId-VNM,2013,11350.0,6493.0,3695.0,1162.0
geoId-VNM,2014,11762.0,6586.0,3945.0,1231.0
geoId-VNM,2015,11912.0,6557.0,4053.0,1302.0
geoId-VNM,2016,11915.0,6527.0,4103.0,1285.0
geoId-VNM,2017,11887.0,6503.0,4089.0,1295.0
geoId-VNM,2018,11973.0,6644.0,4131.0,1198.0
geoId-VNM,2019,12281.0,6792.0,4204.0,1285.0
geoId-VNM,2020,12551.0,6949.0,4316.0,1286.0
geoId-VNM,2021,12837.0,7114.0,4371.0,1352.0
