dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,63167.0,39466.0,19268.0,4433.0
geoId-VNM,2005,65705.0,38273.0,21610.0,5822.0
geoId-VNM,2006,67528.0,35972.0,24534.0,7022.0
geoId-VNM,2007,63583.0,35319.0,21673.0,6591.0
geoId-VNM,2008,62384.0,34362.0,21192.0,6830.0
geoId-VNM,2009,62367.0,33107.0,22350.0,6910.0
geoId-VNM,2010,61870.0,32892.0,22130.0,6848.0
geoId-VNM,2011,60736.0,31195.0,21759.0,7782.0
geoId-VNM,2012,56867.0,30866.0,20997.0,5004.0
geoId-VNM,2013,60373.0,30809.0,21619.0,7945.0
geoId-VNM,2014,59160.0,31041.0,20373.0,7746.0
geoId-VNM,2015,59409.0,31483.0,20023.0,7903.0
geoId-VNM,2016,59614.0,32087.0,19904.0,7623.0
geoId-VNM,2017,60823.0,32989.0,20083.0,7751.0
geoId-VNM,2018,63302.0,35550.0,20491.0,7261.0
geoId-VNM,2019,66011.0,37046.0,21280.0,7685.0
geoId-VNM,2020,68575.0,37985.0,22597.0,7993.0
geoId-VNM,2021,71074.0,39314.0,23372.0,8388.0
