dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,32806.0,23241.0,8208.0,1357.0
geoId-VNM,2005,21202.0,16320.0,4358.0,524.0
geoId-VNM,2006,23217.0,16181.0,5681.0,1355.0
geoId-VNM,2007,39768.0,25309.0,11213.0,3246.0
geoId-VNM,2008,38708.0,24288.0,11349.0,3071.0
geoId-VNM,2009,42229.0,27921.0,11127.0,3181.0
geoId-VNM,2010,39080.0,24403.0,11356.0,3321.0
geoId-VNM,2011,40054.0,24573.0,11827.0,3654.0
geoId-VNM,2012,40392.0,24839.0,12022.0,3531.0
geoId-VNM,2013,41265.0,25087.0,12367.0,3811.0
geoId-VNM,2014,41588.0,25124.0,12514.0,3950.0
geoId-VNM,2015,41698.0,25039.0,12562.0,4097.0
geoId-VNM,2016,42081.0,24847.0,13040.0,4194.0
geoId-VNM,2017,41869.0,24693.0,12976.0,4200.0
geoId-VNM,2018,42791.0,24838.0,13737.0,4216.0
geoId-VNM,2019,42803.0,23921.0,14313.0,4569.0
geoId-VNM,2020,45822.0,26328.0,14665.0,4829.0
geoId-VNM,2021,47253.0,27219.0,14957.0,5077.0
