dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,33774.0,21181.0,10974.0,1619.0
geoId-VNM,2005,33953.0,20166.0,11671.0,2116.0
geoId-VNM,2006,33098.0,18616.0,12034.0,2448.0
geoId-VNM,2007,31490.0,17586.0,12071.0,1833.0
geoId-VNM,2008,31273.0,17142.0,11945.0,2186.0
geoId-VNM,2009,30607.0,16560.0,11833.0,2214.0
geoId-VNM,2010,31837.0,17364.0,11983.0,2490.0
geoId-VNM,2011,30154.0,16224.0,10858.0,3072.0
geoId-VNM,2012,34349.0,19165.0,11695.0,3489.0
geoId-VNM,2013,33001.0,18690.0,10695.0,3616.0
geoId-VNM,2014,35348.0,19300.0,12229.0,3819.0
geoId-VNM,2015,37315.0,20387.0,12851.0,4077.0
geoId-VNM,2016,38429.0,20530.0,13597.0,4302.0
geoId-VNM,2017,39158.0,20412.0,14078.0,4668.0
geoId-VNM,2018,39526.0,20614.0,14254.0,4658.0
geoId-VNM,2019,38544.0,19065.0,14553.0,4926.0
geoId-VNM,2020,40705.0,20702.0,14944.0,5059.0
geoId-VNM,2021,40991.0,20620.0,15051.0,5320.0
