dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,19638.0,12590.0,5515.0,1533.0
geoId-VNM,2005,19346.0,11674.0,5932.0,1740.0
geoId-VNM,2006,18485.0,10787.0,5776.0,1922.0
geoId-VNM,2007,18642.0,10521.0,6137.0,1984.0
geoId-VNM,2008,18571.0,10383.0,6027.0,2161.0
geoId-VNM,2009,18472.0,10250.0,5949.0,2273.0
geoId-VNM,2010,18838.0,10195.0,6234.0,2409.0
geoId-VNM,2011,19292.0,10371.0,6189.0,2732.0
geoId-VNM,2012,19117.0,10230.0,6192.0,2695.0
geoId-VNM,2013,19057.0,10269.0,6175.0,2613.0
geoId-VNM,2014,18582.0,10246.0,6104.0,2232.0
geoId-VNM,2015,18668.0,10406.0,6077.0,2185.0
geoId-VNM,2016,18449.0,10252.0,6149.0,2048.0
geoId-VNM,2017,18485.0,10418.0,6055.0,2012.0
geoId-VNM,2018,19619.0,11317.0,6289.0,2013.0
geoId-VNM,2019,19659.0,11215.0,6444.0,2000.0
geoId-VNM,2020,20197.0,11442.0,6647.0,2108.0
geoId-VNM,2021,20784.0,11819.0,6730.0,2235.0
