dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,117057.0,54218.0,43983.0,18856.0
geoId-VNM,2005,113163.0,49364.0,41695.0,22104.0
geoId-VNM,2006,107737.0,46046.0,38956.0,22735.0
geoId-VNM,2007,97207.0,44267.0,33008.0,19932.0
geoId-VNM,2008,95921.0,43178.0,33023.0,19720.0
geoId-VNM,2009,89718.0,42757.0,30583.0,16378.0
geoId-VNM,2010,85778.0,41682.0,29053.0,15043.0
geoId-VNM,2011,83732.0,42005.0,28663.0,13064.0
geoId-VNM,2012,83208.0,41769.0,27523.0,13916.0
geoId-VNM,2013,83289.0,42429.0,27536.0,13324.0
geoId-VNM,2014,81888.0,41985.0,27467.0,12436.0
geoId-VNM,2015,82439.0,42190.0,28252.0,11997.0
geoId-VNM,2016,82542.0,42669.0,28167.0,11706.0
geoId-VNM,2017,84161.0,43322.0,28911.0,11928.0
geoId-VNM,2018,86677.0,45375.0,29133.0,12169.0
geoId-VNM,2019,88538.0,47192.0,29067.0,12279.0
geoId-VNM,2020,91055.0,48618.0,30011.0,12426.0
geoId-VNM,2021,93307.0,49485.0,30931.0,12891.0
