dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,62452.0,26276.0,26665.0,9511.0
geoId-VNM,2005,61339.0,23911.0,27351.0,10077.0
geoId-VNM,2006,58133.0,23916.0,24065.0,10152.0
geoId-VNM,2007,56005.0,23640.0,22014.0,10351.0
geoId-VNM,2008,52108.0,23947.0,19665.0,8496.0
geoId-VNM,2009,53209.0,24643.0,19733.0,8833.0
geoId-VNM,2010,45138.0,25608.0,18501.0,1029.0
geoId-VNM,2011,55928.0,26127.0,17855.0,11946.0
geoId-VNM,2012,46674.0,23055.0,15942.0,7677.0
geoId-VNM,2013,58936.0,29278.0,19592.0,10066.0
geoId-VNM,2014,60800.0,30182.0,20801.0,9817.0
geoId-VNM,2015,64080.0,32742.0,21284.0,10054.0
geoId-VNM,2016,67197.0,35389.0,21589.0,10219.0
geoId-VNM,2017,71135.0,37989.0,22517.0,10629.0
geoId-VNM,2018,76185.0,42133.0,23212.0,10840.0
geoId-VNM,2019,78325.0,45359.0,24842.0,8124.0
geoId-VNM,2020,86632.0,47608.0,27237.0,11787.0
geoId-VNM,2021,91356.0,49949.0,29376.0,12031.0
