dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,105796.0,76021.0,24791.0,4984.0
geoId-VNM,2005,109336.0,76616.0,26854.0,5866.0
geoId-VNM,2006,113063.0,77193.0,29957.0,5913.0
geoId-VNM,2007,110835.0,75421.0,29809.0,5605.0
geoId-VNM,2008,112512.0,75633.0,30933.0,5946.0
geoId-VNM,2009,114865.0,77566.0,31396.0,5903.0
geoId-VNM,2010,57372.0,32696.0,20982.0,3694.0
geoId-VNM,2011,123208.0,81825.0,34032.0,7351.0
geoId-VNM,2012,124208.0,82404.0,34337.0,7467.0
geoId-VNM,2013,131382.0,85474.0,37585.0,8323.0
geoId-VNM,2014,131392.0,84692.0,38106.0,8594.0
geoId-VNM,2015,130711.0,83352.0,38650.0,8709.0
geoId-VNM,2016,130215.0,81987.0,39836.0,8392.0
geoId-VNM,2017,130680.0,81134.0,41114.0,8432.0
geoId-VNM,2018,132786.0,82309.0,41800.0,8677.0
geoId-VNM,2019,136269.0,84006.0,42929.0,9334.0
geoId-VNM,2020,139862.0,85568.0,44609.0,9685.0
geoId-VNM,2021,142040.0,85965.0,45539.0,10536.0
