dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,,,,
geoId-VNM,2005,,,,
geoId-VNM,2006,,,,
geoId-VNM,2007,,,,
geoId-VNM,2008,,,,
geoId-VNM,2009,,,,
geoId-VNM,2010,,,,
geoId-VNM,2011,,,,
geoId-VNM,2012,,,,
geoId-VNM,2013,,,,
geoId-VNM,2014,,,,
geoId-VNM,2015,,,,
geoId-VNM,2016,,,,
geoId-VNM,2017,,,,
geoId-VNM,2018,394186.0,213471.0,132598.0,48117.0
geoId-VNM,2019,409599.0,221600.0,138283.0,49716.0
geoId-VNM,2020,427657.0,230344.0,144951.0,52362.0
geoId-VNM,2021,439213.0,236778.0,148038.0,54397.0
