dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,3300.0,1908.0,1066.0,326.0
geoId-VNM,2005,3392.0,1884.0,1137.0,371.0
geoId-VNM,2006,3848.0,1948.0,1456.0,444.0
geoId-VNM,2007,3698.0,1948.0,1334.0,416.0
geoId-VNM,2008,4081.0,2186.0,1515.0,380.0
geoId-VNM,2009,4211.0,2259.0,1463.0,489.0
geoId-VNM,2010,4348.0,2305.0,1448.0,595.0
geoId-VNM,2011,4270.0,2240.0,1476.0,554.0
geoId-VNM,2012,4552.0,2361.0,1612.0,579.0
geoId-VNM,2013,4648.0,2508.0,1603.0,537.0
geoId-VNM,2014,4965.0,2733.0,1555.0,677.0
geoId-VNM,2015,5069.0,2762.0,1645.0,662.0
geoId-VNM,2016,5135.0,2783.0,1666.0,686.0
geoId-VNM,2017,5279.0,2918.0,1687.0,674.0
geoId-VNM,2018,5742.0,3219.0,1859.0,664.0
geoId-VNM,2019,5832.0,3346.0,1721.0,765.0
geoId-VNM,2020,6318.0,3476.0,2060.0,782.0
geoId-VNM,2021,6540.0,3624.0,2151.0,765.0
