dia phuong,Năm,Tổng số,Tiểu học,Trung học cơ sở,Trung học phổ thông
geoId-VNM,2004,2405.0,1716.0,616.0,73.0
geoId-VNM,2005,2344.0,1437.0,791.0,116.0
geoId-VNM,2006,2202.0,1341.0,739.0,122.0
geoId-VNM,2007,2142.0,1333.0,668.0,141.0
geoId-VNM,2008,2151.0,1325.0,680.0,146.0
geoId-VNM,2009,2088.0,1371.0,560.0,157.0
geoId-VNM,2010,2197.0,1494.0,556.0,147.0
geoId-VNM,2011,2470.0,1602.0,685.0,183.0
geoId-VNM,2012,2109.0,1706.0,364.0,39.0
geoId-VNM,2013,2854.0,1825.0,807.0,222.0
geoId-VNM,2014,3044.0,1917.0,871.0,256.0
geoId-VNM,2015,3142.0,1970.0,942.0,230.0
geoId-VNM,2016,3281.0,2018.0,1039.0,224.0
geoId-VNM,2017,3449.0,2086.0,1079.0,284.0
geoId-VNM,2018,3655.0,2325.0,1053.0,277.0
geoId-VNM,2019,3931.0,2464.0,1173.0,294.0
geoId-VNM,2020,4279.0,2651.0,1243.0,385.0
geoId-VNM,2021,4434.0,2709.0,1337.0,388.0
