dia phuong,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,101.78,102.02,99.79,99.56,107.22,95.35,88.24,90.35,95.43,95.94,98.89,99.52,99.61,100.33,99.34,99.4,99.34,99.32,99.42,99.25,99.63
