dia phuong,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,100.54,104.21,103.97,104.07,104.97,106.02,110.75,109.56,108.22,111.7,106.58,104.2,103.73,102.15,102.21,101.52,101.42,101.99,101.5,101.85,103.15
