dia phuong,2000,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
geoId-VNM,103.16,104.65,100.91,101.74,104.4,103.3,104.16,105.72,110.37,123.18,117.07,114.17,110.17,106.45,106.31,109.1,106.31,105.65,104.08,101.85,101.68
