dia phuong,Năm,Tổng số,"Nông, lâm nghiệp và thủy sản",Công nghiệp - Xây dựng,Dịch vụ
geoId-VNM,2013,77.72,99.15,64.45,55.18
geoId-VNM,2014,78.11,99.21,64.23,56.76
geoId-VNM,2015,75.99,98.91,59.72,57.33
geoId-VNM,2016,74.72,98.8,59.41,56.25
geoId-VNM,2017,73.93,99.11,58.37,56.25
geoId-VNM,2018,72.06,98.83,57.44,55.17
geoId-VNM,2019,70.99,99.27,54.48,57.53
geoId-VNM,2020,70.31,98.82,53.95,58.08
geoId-VNM,2021,68.54,98.81,53.75,58.22
geoId-VNM,Sơ bộ 2022,65.83,98.66,48.29,57.69
