"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-HPG,93.7,94.1,95.1,94.8,95.2,95.9,95.4,94.0,92.1,89.9,88.3,86.9,83.1,82.4,82.4,80.9,79.6,79.2,78.2,77.1,75.8,74.0,72.3,69.3,64.9,58.6,57.7,56.8
geoId-HGG,,,,,,,,,,228.4,228.4,227.1,189.3,202.9,191.2,210.7,212.7,214.1,212.0,205.3,207.1,202.2,206.6,194.6,196.1,198.2,189.0,188.4
geoId-KHA,38.0,42.5,42.3,41.1,44.9,45.7,46.2,43.3,46.3,45.6,34.8,47.0,41.1,45.7,45.9,44.2,45.2,47.1,46.6,45.6,34.2,39.9,47.5,46.6,45.6,33.4,45.3,43.3
geoId-KGG,380.3,449.6,439.7,505.9,521.3,541.0,550.6,575.9,563.0,570.3,595.8,595.1,582.9,609.2,622.1,642.7,686.9,725.1,770.4,753.6,769.5,765.9,735.3,728.4,722.1,725.8,715.7,699.8
geoId-KTM,19.3,18.9,19.1,18.9,19.3,20.9,21.3,20.8,21.0,22.4,23.3,23.2,23.2,23.4,23.8,22.4,22.6,23.3,23.4,23.6,24.4,24.2,24.0,23.7,23.7,23.3,23.3,22.9
geoId-LCU,47.4,48.2,45.6,46.1,49.5,51.9,54.7,55.7,56.1,28.6,30.5,30.4,30.6,30.0,30.2,30.3,29.3,28.8,30.3,30.4,30.9,31.4,32.9,32.1,32.9,32.7,32.3,31.9
geoId-LAN,325.7,371.3,374.5,400.1,441.2,453.1,440.9,433.3,424.1,433.4,429.3,433.2,428.4,457.0,463.6,471.1,484.2,499.6,527.7,519.2,522.9,527.4,526.7,511.3,506.3,502.6,511.3,509.1
geoId-LCI,33.1,32.4,32.4,33.2,35.5,36.4,36.8,36.1,36.9,27.8,28.4,27.9,28.3,29.1,29.1,29.7,30.4,30.6,30.5,30.8,30.7,31.6,32.3,33.6,33.7,34.0,34.0,33.5
geoId-LDG,30.1,21.4,31.6,31.4,31.8,32.7,32.5,33.6,34.8,35.3,33.8,32.7,32.8,32.2,33.4,33.8,34.3,33.3,32.4,32.0,31.9,30.0,30.3,28.7,28.2,27.6,27.1,26.3
geoId-LSN,45.4,45.8,47.2,46.1,45.5,47.1,49.1,47.7,48.5,49.4,49.5,48.6,49.2,49.9,49.9,49.6,49.6,50.3,50.8,50.7,49.8,50.1,49.5,48.8,48.4,48.1,47.2,48.1
geoId-NDH,163.5,163.1,165.1,165.6,165.7,166.2,165.3,164.1,163.0,161.0,158.3,157.3,156.7,158.6,158.6,159.0,158.4,157.3,155.4,154.9,154.4,153.0,151.1,149.1,147.0,145.4,144.9,143.0
geoId-NAN,188.2,184.9,187.9,184.2,176.4,186.8,189.1,188.3,187.1,182.5,180.2,182.2,183.1,184.6,184.4,183.4,186.0,186.1,184.2,187.9,186.6,186.0,188.6,186.4,181.7,180.3,179.4,173.1
geoId-NBH,80.3,67.4,80.9,81.6,82.2,83.0,83.2,82.5,81.9,81.4,80.1,79.8,80.4,81.2,81.3,81.1,80.8,81.2,80.9,80.4,79.3,78.7,77.7,75.6,73.6,71.9,71.8,71.2
geoId-NTN,30.2,29.7,31.6,30.0,35.4,34.0,32.1,30.3,32.3,33.9,17.0,34.2,33.4,37.9,39.2,37.8,38.8,41.5,43.6,42.8,37.3,41.4,48.4,42.9,44.4,32.6,44.1,45.5
geoId-PTO,70.2,66.1,69.1,70.5,67.2,71.6,71.2,73.0,73.5,72.7,73.2,71.4,67.9,71.3,71.3,68.8,69.7,69.2,69.8,69.6,69.4,67.7,67.1,64.3,61.7,61.3,60.2,59.3
