dia phuong,Năm,Tổng số,15 - 24,25 - 49,50+
geoId-VNM,2000,38545.4,8289.1,25474.1,4782.2
geoId-VNM,2001,39615.8,8757.7,26216.7,4641.4
geoId-VNM,2002,40716.0,8776.8,26783.9,5155.3
geoId-VNM,2003,41846.7,9361.8,26598.3,5886.6
geoId-VNM,2004,43008.9,9060.6,27236.0,6712.3
geoId-VNM,2005,44904.5,9168.0,28432.5,7304.0
geoId-VNM,2006,46238.7,9727.4,29447.7,7063.6
geoId-VNM,2007,47160.3,8561.8,29392.1,9206.4
geoId-VNM,2008,48209.6,8734.3,29973.4,9501.9
geoId-VNM,2009,49322.0,9184.7,30285.1,9852.2
geoId-VNM,2010,50473.5,9251.3,30988.8,10233.4
geoId-VNM,2011,51594.3,8503.2,31614.3,11476.8
geoId-VNM,2012,52616.6,7929.8,32177.3,12509.5
geoId-VNM,2013,53549.3,7960.7,32078.8,13509.8
geoId-VNM,2014,54040.7,7631.4,32257.3,14152.0
geoId-VNM,2015,54266.0,8031.5,32167.4,14067.1
geoId-VNM,2016,54482.8,7521.9,32443.0,14517.9
geoId-VNM,2017,54819.6,7596.1,32573.8,14649.7
geoId-VNM,2018,55388.0,7065.6,33366.7,14955.7
geoId-VNM,2019,55767.4,7159.5,34308.3,14299.6
geoId-VNM,2020,54842.94,6061.51,34622.23,14159.2
geoId-VNM,2021,50560.5,5094.3,31902.8,13563.4
geoId-VNM,Sơ bộ 2022,51704.88,5220.46,32669.3,13815.13
